datetime,period_0.25,period_0.5,period_0.75,period_1.0,period_2.0,period_3.0,period_5.0,period_7.0,period_10.0,period_15.0,period_20.0,period_30.0
2016-01-02 18:38:47,9.03,9.62,9.93,10.1,10.29,10.35,10.38,10.35,10.28,10.24,10.24,10.26
2016-01-03 18:37:01,9.04,9.34,9.44,9.47,9.48,9.49,9.45,9.38,9.29,9.26,9.26,9.27
2016-01-04 18:39:17,9.76,9.9,9.91,9.84,9.47,9.3,9.19,9.15,9.11,9.06,9.03,9.0
2016-01-06 18:39:47,10.13,10.01,9.89,9.8,9.55,9.43,9.23,9.07,8.92,8.83,8.81,8.79
2016-01-07 18:39:49,10.14,9.97,9.81,9.66,9.21,8.91,8.5,8.29,8.2,8.24,8.3,8.36
2016-01-08 18:39:36,9.82,9.7,9.59,9.48,9.17,8.96,8.67,8.49,8.41,8.45,8.54,8.67
2016-01-09 18:39:46,9.14,9.08,9.03,8.98,8.82,8.67,8.42,8.26,8.16,8.23,8.37,8.65
2016-01-11 18:39:58,9.93,9.48,9.18,8.97,8.67,8.68,8.7,8.67,8.65,8.65,8.67,8.69
2016-01-12 18:39:59,9.16,9.04,8.95,8.88,8.77,8.76,8.78,8.8,8.82,8.86,8.88,8.88
2016-01-13 18:39:33,9.67,10.29,10.54,10.62,10.56,10.55,10.52,10.41,10.24,10.14,10.12,10.12
2016-01-14 18:39:49,9.54,10.19,10.46,10.55,10.59,10.62,10.6,10.5,10.36,10.29,10.28,10.3
2016-01-15 18:39:54,9.42,10.1,10.42,10.58,10.7,10.73,10.72,10.67,10.56,10.49,10.48,10.49
2016-01-18 18:39:53,9.43,10.11,10.43,10.57,10.7,10.72,10.72,10.68,10.62,10.57,10.56,10.55
2016-01-19 18:39:56,9.32,10.0,10.33,10.48,10.6,10.61,10.57,10.53,10.5,10.47,10.46,10.45
2016-01-20 18:39:57,9.38,10.07,10.4,10.56,10.72,10.8,10.89,10.91,10.9,10.86,10.83,10.8
2016-01-21 18:39:23,9.29,9.97,10.32,10.51,10.76,10.85,10.93,10.94,10.9,10.87,10.85,10.85
2016-01-22 18:39:51,8.91,9.58,9.96,10.19,10.52,10.59,10.59,10.54,10.47,10.45,10.48,10.51
2016-01-25 18:39:46,9.0,9.66,10.05,10.27,10.58,10.65,10.66,10.6,10.51,10.47,10.5,10.55
2016-01-26 18:39:51,8.86,9.48,9.88,10.14,10.53,10.57,10.51,10.44,10.38,10.37,10.4,10.45
2016-01-27 18:39:44,8.96,9.58,9.92,10.11,10.36,10.4,10.36,10.28,10.2,10.19,10.21,10.25
2016-01-28 18:39:35,8.84,9.46,9.81,9.99,10.19,10.19,10.18,10.15,10.09,10.06,10.06,10.09
2016-01-29 18:39:32,8.91,9.52,9.86,10.05,10.25,10.28,10.26,10.21,10.15,10.13,10.14,10.16
2016-02-02 18:39:33,8.95,9.49,9.83,10.05,10.37,10.46,10.5,10.45,10.36,10.31,10.31,10.35
2016-02-03 18:37:23,9.12,9.38,9.46,9.47,9.44,9.45,9.44,9.39,9.31,9.27,9.26,9.27
2016-02-06 18:39:56,10.13,9.98,9.86,9.77,9.55,9.43,9.21,9.05,8.93,8.87,8.86,8.86
2016-02-08 18:39:59,9.81,9.7,9.59,9.49,9.17,8.99,8.71,8.54,8.45,8.47,8.54,8.67
2016-02-09 18:39:53,9.21,9.13,9.05,8.99,8.77,8.61,8.37,8.22,8.12,8.21,8.38,8.68
