,Date,Income,Outcome,Balance,Налог на прибыль (при уплате только ежеквартальных авансовых платежей),Налог на прибыль (при уплате ежемесячных авансовых платежей с доплатой по итогам квартала),Налог на прибыль (при ежемесячной уплате авансов исходя из фактической прибыли) (АНАЛОГ F),НДС,Налог при УСН,НДФЛ с отпускных и больничных пособий	,ЕНВД,ЕСХН,Торговый сбор на территории г. Москвы,"Страховые взносы, перечисляемые в ИФНС","Взносы, уплачиваемые ИП за себя","Взносы, перечисляемые в ФСС",Налог на добычу полезных ископаемых (Последняя неделя каждого месяца),Зарплаты и авансы (не позднее 15 и 30 числа каждого месяца),Праздники РФ,COVID cases (см вкладку),GDP,Inflation Rate MoM: actual,Inflation Rate MoM: forecastCorrection,Balance of Trade: actual,Balance of Trade: forecastCorrection,Foreign Exchange Reserves: actual,Foreign Exchange Reserves: forecastCorrection,Industrial Production YoY: actual,Industrial Production YoY: forecastCorrection,Unemployment Rate: actual,Unemployment Rate: forecastCorrection,Real Wage Growth YoY: actual,Real Wage Growth YoY: forecastCorrection,PPI MoM: actual,PPI MoM: forecastCorrection,Retail Sales YoY: actual,Retail Sales YoY: forecastCorrection,Corporate Profits: actual,Corporate Profits: forecastCorrection,Markit Manufacturing PMI: actual,Markit Manufacturing PMI: forecastCorrection,Markit Services PMI: actual,Markit Services PMI: forecastCorrection,Business Confidence: actual,Business Confidence: forecastCorrection
0,2017-01-09,1.34,1.49,-0.1559036386,,,,,,,,,,,1.0,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
1,2017-01-10,1.068610321,1.194182455,-0.1255721339,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
2,2017-01-11,0.944429115,0.9366625183,0.00776659662,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
3,2017-01-12,1.67,0.8753789643,0.8003907709,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
4,2017-01-13,0.9559239897,0.9756451203,-0.01972113068,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
5,2017-01-14,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
6,2017-01-15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
7,2017-01-16,1.082341359,1.024344933,0.05799642613,,,,,,,,,,1.0,,1.0,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
8,2017-01-17,0.8963335667,1.45,-0.5485185356,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
9,2017-01-18,0.7547589142,0.8795602299,-0.1248013156,,,,,,,,,,,,,,,,,2.5,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0
