,Date,Income,Outcome,Balance,Налог на прибыль (при уплате только ежеквартальных авансовых платежей),Налог на прибыль (при уплате ежемесячных авансовых платежей с доплатой по итогам квартала),Налог на прибыль (при ежемесячной уплате авансов исходя из фактической прибыли) (АНАЛОГ F),НДС,Налог при УСН,НДФЛ с отпускных и больничных пособий	,ЕНВД,ЕСХН,Торговый сбор на территории г. Москвы,"Страховые взносы, перечисляемые в ИФНС","Взносы, уплачиваемые ИП за себя","Взносы, перечисляемые в ФСС",Налог на добычу полезных ископаемых (Последняя неделя каждого месяца),Зарплаты и авансы (не позднее 15 и 30 числа каждого месяца),Праздники РФ,COVID cases (см вкладку),Inflation Rate MoM: actual,Inflation Rate MoM: forecastCorrection,Balance of Trade: actual,Balance of Trade: forecastCorrection,Foreign Exchange Reserves: actual,Foreign Exchange Reserves: forecastCorrection,Industrial Production YoY: actual,Industrial Production YoY: forecastCorrection,Unemployment Rate: actual,Unemployment Rate: forecastCorrection,Real Wage Growth YoY: actual,Real Wage Growth YoY: forecastCorrection,PPI MoM: actual,PPI MoM: forecastCorrection,Retail Sales YoY: actual,Retail Sales YoY: forecastCorrection,Corporate Profits: actual,Corporate Profits: forecastCorrection,Markit Manufacturing PMI: actual,Markit Manufacturing PMI: forecastCorrection,Markit Services PMI: actual,Markit Services PMI: forecastCorrection,Business Confidence: actual,Business Confidence: forecastCorrection,BZ=F,IMOEX.ME,USDRUB=X,period_0.25,period_0.5,period_0.75,period_1.0,period_2.0,period_3.0,period_5.0,period_7.0,period_10.0,period_15.0,period_20.0,period_30.0
0,2017-01-09,1.34,1.49,-0.1559036386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,54.93999862670898,2211.25,59.56499862670898,7.85,7.84,7.82,7.8,7.75,7.71,7.68,7.67,7.71,7.95,8.26,8.91
1,2017-01-10,1.068610321,1.194182455,-0.1255721339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,53.63999938964844,2237.489990234375,60.102500915527344,7.85,7.84,7.82,7.8,7.75,7.71,7.68,7.67,7.71,7.95,8.26,8.91
2,2017-01-11,0.944429115,0.9366625183,0.00776659662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.09999847412109,2218.610107421875,60.13999938964844,7.57,7.53,7.5,7.48,7.45,7.45,7.49,7.53,7.62,7.87,8.2,8.9
3,2017-01-12,1.67,0.8753789643,0.8003907709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,56.0099983215332,2212.0,59.778099060058594,7.17,7.18,7.18,7.19,7.22,7.27,7.39,7.5,7.65,7.94,8.26,8.9
4,2017-01-13,0.9559239897,0.9756451203,-0.01972113068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2195.18994140625,59.432498931884766,8.62,8.53,8.44,8.36,8.12,7.98,7.89,7.93,8.09,8.37,8.58,8.82
5,2017-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2195.18994140625,59.432498931884766,8.62,8.53,8.44,8.36,8.12,7.98,7.89,7.93,8.09,8.37,8.58,8.82
6,2017-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2195.18994140625,59.432498931884766,8.62,8.53,8.44,8.36,8.12,7.98,7.89,7.93,8.09,8.37,8.58,8.82
7,2017-01-16,1.082341359,1.024344933,0.05799642613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2189.070068359375,59.637001037597656,8.57,8.48,8.4,8.33,8.13,8.03,7.96,7.99,8.13,8.4,8.61,8.87
8,2017-01-17,0.8963335667,1.45,-0.5485185356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.470001220703125,2178.72998046875,59.78200149536133,8.6,8.5,8.4,8.32,8.09,7.98,7.91,7.95,8.1,8.37,8.57,8.8
9,2017-01-18,0.7547589142,0.8795602299,-0.1248013156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,53.91999816894531,2170.090087890625,59.33000183105469,8.6,8.5,8.41,8.33,8.09,7.97,7.92,7.98,8.13,8.4,8.58,8.79
